河北频道,#genre#:
河北少儿,http://ott-iptv.top/gxiptv/gwzb/hebei/hebei.php?id=sekj
文旅公共,http://ott-iptv.top/gxiptv/gwzb/hebei/hebei.php?id=hbgg
河北农民,http://ott-iptv.top/gxiptv/gwzb/hebei/hebei.php?id=nmpd
央视频道,,#genre#:
CCTV1,https://ott-iptv.top/shouxialiuqing/bestV1/bestty.php?id=cctv1hd
CCTV2,https://ott-iptv.top/shouxialiuqing/bestV1/bestty.php?id=cctv2hd8m
CCTV3,https://ott-iptv.top/shouxialiuqing/bestV1/bestty.php?id=cctv3hd
CCTV4,https://ott-iptv.top/shouxialiuqing/bestV1/bestty.php?id=cctv4hd4m
CCTV5,https://ott-iptv.top/shouxialiuqing/bestV1/bestty.php?id=cctv5hd
CCTV5,https://ott-iptv.top/shouxialiuqing/bestV1/bestty.php?id=cctv5phd
CCTV6,https://ott-iptv.top/shouxialiuqing/bestV1/bestty.php?id=cctv6hd
CCTV7,https://ott-iptv.top/shouxialiuqing/bestV1/bestty.php?id=cctv7hd4m
CCTV8,https://ott-iptv.top/shouxialiuqing/bestV1/bestty.php?id=cctv8hd
CCTV9,https://ott-iptv.top/shouxialiuqing/bestV1/bestty.php?id=cctv9hd4mc
CCTV10,https://ott-iptv.top/shouxialiuqing/bestV1/bestty.php?id=cctv10hd
CCTV11,https://ott-iptv.top/shouxialiuqing/bestV1/bestty.php?id=cctv11hd4m
CCTV12,https://ott-iptv.top/shouxialiuqing/bestV1/bestty.php?id=cctv12hd4m
CCTV13,https://ott-iptv.top/shouxialiuqing/bestV1/bestty.php?id=cctv13hd4m
CCTV14,https://ott-iptv.top/shouxialiuqing/bestV1/bestty.php?id=cctvsehd
CCTV15,https://ott-iptv.top/shouxialiuqing/bestV1/bestty.php?id=cctvyyhd4m
CCTV16,https://ott-iptv.top/shouxialiuqing/bestV1/bestty.php?id=cctv16hd4m
CCTV17,https://ott-iptv.top/shouxialiuqing/bestV1/bestty.php?id=cctv17hd4m
卫视频道,#genre#:
北京卫视,https://ott-iptv.top/shouxialiuqing/bestV1/bestty.php?id=bjwshd
天津卫视,https://ott-iptv.top/shouxialiuqing/bestV1/bestty.php?id=tjwshd
湖北卫视,https://ott-iptv.top/shouxialiuqing/bestV1/bestty.php?id=hbwshd4m
河南卫视,https://ott-iptv.top/shouxialiuqing/bestV1/bestty.php?id=henwshd4m
山东卫视,https://ott-iptv.top/shouxialiuqing/bestV1/bestty.php?id=sdwshd
江苏卫视,https://ott-iptv.top/shouxialiuqing/bestV1/bestty.php?id=jswshd
浙江卫视,https://ott-iptv.top/shouxialiuqing/bestV1/bestty.php?id=zjwshd
东方卫视,https://ott-iptv.top/shouxialiuqing/bestV1/bestty.php?id=hddfws
安徽卫视,https://ott-iptv.top/shouxialiuqing/bestV1/bestty.php?id=ahwshd
江西卫视,https://ott-iptv.top/shouxialiuqing/bestV1/bestty.php?id=jxwshd
四川卫视,https://ott-iptv.top/shouxialiuqing/bestV1/bestty.php?id=scwshd4m
重庆卫视,https://ott-iptv.top/shouxialiuqing/bestV1/bestty.php?id=cqwshd4m
河北卫视,https://ott-iptv.top/shouxialiuqing/bestV1/bestty.php?id=hbwshd
湖南卫视,https://ott-iptv.top/shouxialiuqing/bestV1/bestty.php?id=hnwshd
云南卫视,https://ott-iptv.top/shouxialiuqing/bestV1/bestty.php?id=ynwshd4m
贵州卫视,https://ott-iptv.top/shouxialiuqing/bestV1/bestty.php?id=gzwshd4m
广东卫视,https://ott-iptv.top/shouxialiuqing/bestV1/bestty.php?id=gdwshd
广西卫视,https://ott-iptv.top/shouxialiuqing/bestV1/bestty.php?id=gxwshd4m
深圳卫视,https://ott-iptv.top/shouxialiuqing/bestV1/bestty.php?id=szwshd
东南卫视,https://ott-iptv.top/shouxialiuqing/bestV1/bestty.php?id=dnwshd
海南卫视,https://ott-iptv.top/shouxialiuqing/bestV1/bestty.php?id=hainwshd4m
黑龙江卫视,https://ott-iptv.top/shouxialiuqing/bestV1/bestty.php?id=hljwshd
吉林卫视,https://ott-iptv.top/shouxialiuqing/bestV1/bestty.php?id=jlwshd4m
辽宁卫视,https://ott-iptv.top/shouxialiuqing/bestV1/bestty.php?id=lnwshd
甘肃卫视,https://ott-iptv.top/shouxialiuqing/bestV1/bestty.php?id=gswshd4m
海峡卫视,https://ott-iptv.top/shouxialiuqing/bestV1/bestty.php?id=hxwshd4m
山西卫视,https://ott-iptv.top/shouxialiuqing/bestV1/bestty.php?id=shanxiws
陕西卫视,https://ott-iptv.top/shouxialiuqing/bestV1/bestty.php?id=sxws
内蒙卫视,https://ott-iptv.top/shouxialiuqing/bestV1/bestty.php?id=nmgws
青海卫视,https://ott-iptv.top/shouxialiuqing/bestV1/bestty.php?id=qhws
宁夏卫视https://ott-iptv.top/shouxialiuqing/bestV1/bestty.php?id=nxws
新疆卫视,https://ott-iptv.top/shouxialiuqing/bestV1/bestty.php?id=xjws
西藏卫视,https://ott-iptv.top/shouxialiuqing/bestV1/bestty.php?id=xzws
厦门卫视,https://ott-iptv.top/shouxialiuqing/bestV1/bestty.php?id=xmws
兵团卫视,https://ott-iptv.top/shouxialiuqing/bestV1/bestty.php?id=btws
三沙卫视,https://ott-iptv.top/shouxialiuqing/bestV1/bestty.php?id=ssws2d5m
安多卫视,https://ott-iptv.top/shouxialiuqing/bestV1/bestty.php?id=adws2d5m
